Index,CellType
1,Unknown
2,Unknown
3,NK_Cells
4,Classical_mono
5,naive_T_effectors
6,CD8_Naive
7,Teffector_CM
8,Teffector_CM
9,CD8_Naive
10,CD8_Naive
11,gdTCR_Mem
12,Classical_mono
13,naive_T_effectors
14,Classical_mono
15,Unknown
16,Unknown
17,naive_T_effectors
18,Unknown
19,Teffector_CM
20,naive_T_effectors
21,naive_T_effectors
22,naive_T_effectors
23,naive_T_effectors
24,CD8_Naive
25,Unknown
26,CD8_Effectory_memory
27,CD8_Naive
28,B_cells_Naive
29,Unknown
30,naive_T_effectors
31,Teffector_CM
32,B_cells_Naive
33,Treg_Mem
34,naive_T_effectors
35,Teffector_CM
36,naive_T_effectors
37,naive_T_effectors
38,Classical_mono
39,naive_T_effectors
40,Treg_Mem
41,Unknown
42,CD8_Naive
43,Unknown
44,CD8_Naive
45,Unknown
46,naive_T_effectors
47,Unknown
48,Classical_mono
49,naive_T_effectors
50,naive_T_effectors
51,CD8_Naive
52,CD8_Naive
53,Teffector_CM
54,Classical_mono
55,Unknown
56,CD8_Naive
57,naive_T_effectors
58,CD8_Naive
59,Unknown
60,naive_T_effectors
61,naive_T_effectors
62,Classical_mono
63,naive_T_effectors
64,Unknown
65,Treg_Mem
66,naive_T_effectors
67,CD8_Naive
68,Classical_mono
69,B_cells_Mem
70,naive_T_effectors
71,Classical_mono
72,Unknown
73,CD8_Naive
74,NK_Cells
75,Classical_mono
76,Teffector_CM
77,naive_T_effectors
78,naive_T_effectors
79,Unknown
80,Unknown
81,B_cells_Mem
82,Unknown
83,intermediate_mono
84,CD8_Naive
85,naive_T_effectors
86,naive_T_effectors
87,CD8_Naive
88,CD8_Naive
89,mCD1
90,CD8_Naive
91,CD8_Naive
92,Treg_Mem
93,CD8_Naive
94,Unknown
95,Classical_mono
96,Teffector_CM
97,NK_Cells
98,NK_Cells
99,naive_T_effectors
100,Unknown
101,naive_T_effectors
102,CD8_Naive
103,naive_T_effectors
104,B_cells_Naive
105,naive_T_effectors
106,CD8_Naive
107,CD8_Naive
108,B_cells_Naive
109,CD8_Naive
110,B_cells_Mem
111,Classical_mono
112,naive_T_effectors
113,CD8_Naive
114,Classical_mono
115,naive_T_effectors
116,Classical_mono
117,naive_T_effectors
118,CD8_Naive
119,naive_T_effectors
120,naive_T_effectors
121,naive_T_effectors
122,Unknown
123,naive_T_effectors
124,Unknown
125,CD8_Naive
126,CD8_Naive
127,CD8_Naive
128,CD8_Naive
129,Classical_mono
130,naive_T_effectors
131,CD8_Effectory_memory
132,naive_T_effectors
133,Classical_mono
134,Unknown
135,Unknown
136,CD8_Naive
137,naive_T_effectors
138,Unknown
139,naive_T_effectors
140,naive_T_effectors
141,B_cells_Naive
142,Classical_mono
143,naive_T_effectors
144,naive_T_effectors
145,gdTCR_Mem
146,CD8_Naive
147,Unknown
148,B_cells_Mem
149,naive_T_effectors
150,CD8_Naive
151,Unknown
152,CD8_Central_memory
153,CD8_Naive
154,naive_T_effectors
155,CD8_Naive
156,Unknown
157,Teffector_CM
158,Classical_mono
159,naive_T_effectors
160,B_cells_Mem
161,naive_T_effectors
162,Unknown
163,naive_T_effectors
164,CD8_Naive
165,intermediate_mono
166,gdTCR_Mem
167,Teffector_CM
168,mCD1
169,Classical_mono
170,naive_T_effectors
171,naive_T_effectors
172,Unknown
173,Teffector_CM
174,naive_T_effectors
175,intermediate_mono
176,Unknown
177,Unknown
178,CD8_Naive
179,naive_T_effectors
180,Teffector_CM
181,Classical_mono
182,Unknown
183,CD8_Naive
184,CD8_Naive
185,naive_T_effectors
186,Teffector_CM
187,CD8_Naive
188,CD8_Naive
189,naive_T_effectors
190,Unknown
191,CD8_Naive
192,gdTCR_Mem
193,Teffector_CM
194,CD8_Naive
195,Classical_mono
196,naive_T_effectors
197,naive_T_effectors
198,naive_T_effectors
199,Unknown
200,Unknown
201,naive_T_effectors
202,Unknown
203,naive_T_effectors
204,Classical_mono
205,Unknown
206,Treg_Naive
207,Unknown
208,naive_T_effectors
209,CD8_Naive
210,CD8_Naive
211,naive_T_effectors
212,Unknown
213,Classical_mono
214,B_cells_Naive
215,Unknown
216,CD8_Naive
217,Unknown
218,CD8_Central_memory
219,naive_T_effectors
220,Classical_mono
221,CD8_Naive
222,naive_T_effectors
223,gdTCR_Mem
224,Classical_mono
225,naive_T_effectors
226,Treg_Naive
227,naive_T_effectors
228,CD8_Naive
229,naive_T_effectors
230,Classical_mono
231,CD8_Naive
232,Unknown
233,Unknown
234,B_cells_Naive
235,naive_T_effectors
236,CD8_Naive
237,naive_T_effectors
238,naive_T_effectors
239,naive_T_effectors
240,naive_T_effectors
241,naive_T_effectors
242,CD8_Naive
243,CD8_Naive
244,Unknown
245,naive_T_effectors
246,CD8_Naive
247,Treg_Naive
248,Unknown
249,CD8_Naive
250,CD8_Naive
251,CD8_Naive
252,CD8_Naive
253,naive_T_effectors
254,CD8_Naive
255,naive_T_effectors
256,gdTCR_Mem
257,Unknown
258,CD8_Naive
259,CD8_Naive
260,CD8_Naive
261,Unknown
262,CD8_Naive
263,Teffector_CM
264,CD8_Naive
265,CD8_Naive
266,Unknown
267,naive_T_effectors
268,naive_T_effectors
269,naive_T_effectors
270,naive_T_effectors
271,gdTCR_Naive
272,Treg_Naive
273,Unknown
274,Unknown
275,naive_T_effectors
276,naive_T_effectors
277,naive_T_effectors
278,naive_T_effectors
279,CD8_Naive
280,naive_T_effectors
281,B_cells_Naive
282,Teffector_CM
283,gdTCR_Mem
284,Teffector_CM
285,B_cells_Mem
286,B_cells_Mem
287,CD8_Naive
288,Classical_mono
289,B_cells_Mem
290,CD8_Naive
291,Unknown
292,Unknown
293,naive_T_effectors
294,CD8_Naive
295,Teffector_CM
296,CD8_Naive
297,Teffector_CM
298,CD8_Naive
299,Classical_mono
300,CD8_PeaReactive
301,Unknown
302,CD8_Naive
303,Teffector_CM
304,Unknown
305,CD8_Naive
306,naive_T_effectors
307,naive_T_effectors
308,CD8_Naive
309,Unknown
310,CD8_Naive
311,Unknown
312,Unknown
313,intermediate_mono
314,Teffector_CM
315,mCD1
316,Unknown
317,NK_Cells
318,CD8_Naive
319,Teffector_CM
320,CD8_Naive
