Index,CellType
1,CD8_Naive
2,Teffector_CM
3,Treg_Naive
4,B_cells_Naive
5,Teffector_CM
6,naive_T_effectors
7,Classical_mono
8,CD8_Naive
9,CD8_Naive
10,naive_T_effectors
11,B_cells_Mem
12,naive_T_effectors
13,Unknown
14,Unknown
15,NK_Cells
16,NK_Cells
17,CD8_Central_memory
18,B_cells_Mem
19,Unknown
20,Teffector_CM
21,B_cells_Naive
22,CD8_Naive
23,B_cells_Naive
24,Teffector_CM
25,naive_T_effectors
26,naive_T_effectors
27,naive_T_effectors
28,B_cells_Naive
29,CD8_Naive
30,CD8_Central_memory
31,CD8_Naive
32,naive_T_effectors
33,naive_T_effectors
34,CD8_Naive
35,Treg_Mem
36,naive_T_effectors
37,gdTCR_Mem
38,naive_T_effectors
39,NK_Cells
40,B_cells_Mem
41,Unknown
42,CD8_Naive
43,naive_T_effectors
44,naive_T_effectors
45,CD8_Naive
46,naive_T_effectors
47,naive_T_effectors
48,B_cells_Naive
49,Unknown
50,CD8_Naive
51,NK_Cells
52,CD8_Naive
53,naive_T_effectors
54,Teffector_CM
55,Teffector_EM
56,Unknown
57,CD8_Naive
58,Unknown
59,Unknown
60,CD8_Naive
61,CD8_Naive
62,Unknown
63,Unknown
64,Unknown
65,naive_T_effectors
66,CD8_Naive
67,CD8_Central_memory
68,CD8_Naive
69,CD8_Central_memory
70,Unknown
71,naive_T_effectors
72,naive_T_effectors
73,naive_T_effectors
74,CD8_Naive
75,CD8_Naive
76,Unknown
77,CD8_Naive
78,Unknown
79,Teffector_CM
80,Teffector_CM
81,Classical_mono
82,Treg_Mem
83,B_cells_Naive
84,CD8_Naive
85,gdTCR_Mem
86,CD8_Naive
87,naive_T_effectors
88,CD8_Naive
89,gdTCR_Naive
90,naive_T_effectors
91,Treg_Mem
92,CD8_Naive
93,CD8_Naive
94,CD8_Naive
95,NK_Cells
96,gdTCR_Mem
97,CD8_Naive
98,naive_T_effectors
99,NK_Cells
100,naive_T_effectors
101,CD8_Central_memory
102,naive_T_effectors
103,Unknown
104,CD8_Effectory_memory
105,naive_T_effectors
106,NK_Cells
107,Teffector_CM
108,CD8_Naive
109,naive_T_effectors
110,Unknown
111,naive_T_effectors
112,B_cells_Naive
113,Unknown
114,gdTCR_Mem
115,CD8_Central_memory
116,gdTCR_Mem
117,naive_T_effectors
118,naive_T_effectors
119,Unknown
120,Treg_Naive
121,CD8_Naive
122,Teffector_CM
123,Teffector_CM
124,naive_T_effectors
125,CD8_Naive
126,Teffector_CM
127,CD8_Central_memory
128,NK_Cells
129,NK_Cells
130,Unknown
131,naive_T_effectors
132,Teffector_CM
133,CD8_Naive
134,naive_T_effectors
135,CD8_Naive
136,Teffector_CM
137,Unknown
138,CD8_Effectory_memory
139,CD8_Central_memory
140,B_cells_Mem
141,Classical_mono
142,B_cells_Naive
143,Teffector_CM
144,Teffector_CM
145,CD8_Naive
146,naive_T_effectors
147,B_cells_Naive
148,CD8_Central_memory
149,Treg_Mem
150,CD8_Naive
151,naive_T_effectors
152,naive_T_effectors
153,Unknown
154,naive_T_effectors
155,CD8_Naive
156,naive_T_effectors
